Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
32369788,01/08/2016 12:00:00 AM,01/13/2016 09:24:39 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Mixed Use Building,10009,73 AVENUE C,AVENUE C,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,02/07/2016 10:33:22 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/13/2016 09:24:39 AM,03 MANHATTAN,1003870141,MANHATTAN,989879,202669,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72295450944238,-73.97969228924251,"(40.72295450944238, -73.97969228924251)"
32369789,01/09/2016 01:14:54 AM,01/09/2016 02:56:21 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10016,301 EAST 38 STREET,EAST 38 STREET,2 AVENUE,QUEENS MIDTOWN TUNNEL APPROACH,,,ADDRESS,NEW YORK,,Precinct,Closed,01/09/2016 09:14:54 AM,The Police Department responded to the complaint and took action to fix the condition.,01/09/2016 02:56:21 AM,06 MANHATTAN,1009440001,MANHATTAN,991479,211521,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.747249902958366,-73.97391046733915,"(40.747249902958366, -73.97391046733915)"
32369790,01/08/2016 11:44:00 AM,01/11/2016 02:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11365,65-16 PARSONS BOULEVARD,PARSONS BOULEVARD,65 AVE,JEWEL AVE,,,ADDRESS,Fresh Meadows,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/11/2016 02:45:00 PM,08 QUEENS,4067920030,QUEENS,1036756,207594,PHONE,Unspecified,QUEENS,,,,,,,,40.736318367105774,-73.8105362692265,"(40.736318367105774, -73.8105362692265)"
32369791,01/08/2016 04:56:00 PM,01/11/2016 10:41:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11416,87-11 95 AVENUE,95 AVENUE,87 ST,88 ST,95 AVENUE,87 STREET,INTERSECTION,Ozone Park,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/11/2016 10:41:00 AM,09 QUEENS,4090230021,QUEENS,1024681,188941,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.68518382699114,-73.8542198694312,"(40.68518382699114, -73.8542198694312)"
32369792,01/08/2016 12:27:00 PM,01/13/2016 03:04:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10460,1856 BOSTON ROAD,BOSTON ROAD,175 ST E,176 ST E,BOSTON RD,175 ST E,INTERSECTION,BRONX,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/13/2016 03:04:00 PM,Unspecified BRONX,2029910061,BRONX,1016070,244958,UNKNOWN,Unspecified,BRONX,,,,,,,,40.8389710545891,-73.88500294651733,"(40.8389710545891, -73.88500294651733)"
32369793,01/08/2016 01:26:15 PM,01/13/2016 07:20:38 AM,DOT,Department of Transportation,Street Sign - Damaged,Stop,Street,11208,,,,,SUTTER AVENUE,ESSEX STREET,INTERSECTION,BROOKLYN,,N/A,Closed,01/18/2016 05:44:15 AM,The Department of Transportation has completed the request or corrected the condition.,01/13/2016 07:20:38 AM,05 BROOKLYN,,BROOKLYN,1017239,183933,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67146887822744,-73.88107761199088,"(40.67146887822744, -73.88107761199088)"
32369794,01/08/2016 08:52:00 AM,01/14/2016 01:25:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11422,243-31 MAYDA ROAD,MAYDA ROAD,243 ST,249 ST,,,ADDRESS,Rosedale,,N/A,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",01/14/2016 01:25:00 PM,13 QUEENS,4135680016,QUEENS,1056402,179459,ONLINE,Unspecified,QUEENS,,,,,,,,40.658956238763764,-73.73994699261266,"(40.658956238763764, -73.73994699261266)"
32369795,01/08/2016 01:28:20 PM,01/13/2016 08:35:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10451,305 EAST  149 STREET,EAST  149 STREET,COURTLANDT AVENUE,MORRIS AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/13/2016 08:35:00 AM,01 BRONX,2023310063,BRONX,1006075,236935,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81698057789316,-73.92115081792687,"(40.81698057789316, -73.92115081792687)"
32369796,01/07/2016 01:26:06 PM,01/12/2016 09:30:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10472,1257 ROSEDALE AVENUE,ROSEDALE AVENUE,EAST  172 STREET,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/12/2016 09:30:00 AM,09 BRONX,2037830040,BRONX,1020454,242218,UNKNOWN,Unspecified,BRONX,,,,,,,,40.83143366980101,-73.86917404046855,"(40.83143366980101, -73.86917404046855)"
32369797,01/08/2016 03:41:23 PM,01/11/2016 03:11:52 PM,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11234,2003 SCHENECTADY AVENUE,SCHENECTADY AVENUE,AVENUE L,AVENUE M,,,ADDRESS,BROOKLYN,,N/A,Closed,01/19/2016 07:30:25 AM,The condition was inspected and it was determined that no work order was necessary. The condition will not be inspected again for at least 90 days.,01/11/2016 03:11:52 PM,18 BROOKLYN,3078450037,BROOKLYN,1003622,166213,OTHER,Unspecified,BROOKLYN,,,,,,,,40.62287159581437,-73.9302165369027,"(40.62287159581437, -73.9302165369027)"
